 Base_Id,Budget_Fiscal_Year,Fiscal_Period,Payment Date,Cabinet_Secretariat,Department,Appropriation_Type,Appropriation,Object_Class,Object_Code,Encumbrance ID,Zip_Code,Amount,Fund,Fund_Code,Appropriation_Code,Object,Department_Code,Vendor,Vendor_Id,Payment ID,Payment_Method,State,City,Create_Date
00000000000047036002,2021,13,2021-08-30T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(1CS) DIRECT APPROPRIATIONS/SUBSIDIARIZED,(91101636) PROTECTIVE SERVICES,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,6482.3,GENERAL FUND,0010,91101636,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,08302100000000003697,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047035657,2021,6,2020-12-09T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(4FN) FEDERAL GRANTS,(91101076) TITLE IIIB SUPPORTIVE SERVICE,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,10771.9,FEDERAL GRANTS FUND,0100,91101076,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,12082000000000000627,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047035143,2021,8,2021-02-02T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(4FN) FEDERAL GRANTS,(91101076) TITLE IIIB SUPPORTIVE SERVICE,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,21872.03,FEDERAL GRANTS FUND,0100,91101076,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,EMPL 020210130119593,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047034951,2021,2,2020-08-04T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(999) PAYROLL REJECTS,(ELD99999) PAYROLL HOLD ACCOUNT,(99) PAYROLL REJECTS,(999) PAYROLL REJECTS,UNASSIGNED,UNASSIGNED,11872.47,PAYROLL REJECT FUND,0999,ELD99999,999,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,EMPL 020200801120403,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047033688,2021,4,2020-10-27T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(4FN) FEDERAL GRANTS,(91101076) TITLE IIIB SUPPORTIVE SERVICE,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,15980.34,FEDERAL GRANTS FUND,0100,91101076,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,EMPL 020201024117083,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047033577,2021,8,2021-02-02T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(1CS) DIRECT APPROPRIATIONS/SUBSIDIARIZED,(91100100) ELDER AFFAIRS ADMINISTRATION,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,29875.93,GENERAL FUND,0010,91100100,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,EMPL 020210130118653,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047032898,2021,5,2020-11-10T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(1CS) DIRECT APPROPRIATIONS/SUBSIDIARIZED,(91100100) ELDER AFFAIRS ADMINISTRATION,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,47162.57,GENERAL FUND,0010,91100100,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,EMPL 020201107112813,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047031210,2021,3,2020-09-04T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(4FN) FEDERAL GRANTS,(91101076) TITLE IIIB SUPPORTIVE SERVICE,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,0,FEDERAL GRANTS FUND,0100,91101076,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,09042000000000007239,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047030862,2021,8,2021-02-16T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(1CS) DIRECT APPROPRIATIONS/SUBSIDIARIZED,(91100100) ELDER AFFAIRS ADMINISTRATION,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,45699.75,GENERAL FUND,0010,91100100,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,EMPL 020210213117253,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
00000000000047029951,2021,13,2021-08-24T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,DEPARTMENT OF ELDER AFFAIRS (ELD),(4FN) FEDERAL GRANTS,(91101076) TITLE IIIB SUPPORTIVE SERVICE,(AA) REGULAR EMPLOYEE COMPENSATION,(A01) SALARIES: INCLUSIVE,UNASSIGNED,UNASSIGNED,-9477.68,FEDERAL GRANTS FUND,0100,91101076,A01,ELD,ELD - SUMMARY PAYROLL,UNASSIGNED,08242100000000003324,UNASSIGNED,UNASSIGNED,UNASSIGNED,2025-12-01T15:44:24.000
