priority,address,city,zip,total_medicaid,num_entities,why_flagged,all_entities,all_persons
P1 - HIGHEST,300 COMMERCIAL ST STE 19,MALDEN,2148,247817344,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: S5170 | ONE PERSON RUNS ALL MYSTIC VALLEY ELDER SERVICES, INC. 222949564","MYSTIC VALLEY ELDER SERVICES, INC. /// MYSTIC VALLEY ELDER SERVICES, INC. /// MYSTIC VALLEY ELDER SERVICES",SEAN HUBACZ
P1 - HIGHEST,2315 WASHINGTON ST,ROXBURY,2119,207251049,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: H0043, S5102, S5125, S5170, T1019 | ONE PERSON RUNS ALL CENTRAL BOSTON ELDER SERVICES, INC. 186664286","CENTRAL BOSTON ELDER SERVICES, INC. /// CENTRAL BOSTON ELDER SERVICES, INC. /// CENTRAL BOSTON ELDER SERVICES, INC.",EVENS BONTEMPS
P1 - HIGHEST,144 MAIN ST,BROCKTON,2301,157920857,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: T1023 | ONE PERSON RUNS ALL OLD COLONY ELDERLY SERVICES, INC. 137684007","OLD COLONY ELDERLY SERVICES, INC. /// OLD COLONY ELDERLY SERVICES, INC. /// OLD COLONY ELDERLY SERVICES, INC.",DIANA DIGIORGI
P1 - HIGHEST,61 MEDFORD ST,SOMERVILLE,2143,118686097,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: S5140 | ONE PERSON RUNS ALL SOMERVILLE CAMBRIDGE ELDER SERVICES 90176203,SOMERVILLE CAMBRIDGE ELDER SERVICES /// SOMERVILLE CAMBRIDGE ELDER SERVICES /// SOMERVILLE CAMBRIDGE ELDER SERVICES /// SOMERVILLE CAMBRIDGE ELDER SERVICES,JOHN O'NEILL
P1 - HIGHEST,1646 PURCHASE ST,NEW BEDFORD,2740,87349662,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: S5170, T1023, T2022 | ONE PERSON RUNS ALL COASTLINE ELDERLY SERVICES, INC. 83773853","COASTLINE ELDERLY SERVICES, INC. /// COASTLINE ELDERLY SERVICES, INC.",CHARLES SISSON
P1 - HIGHEST,112 TURNPIKE RD STE 101,WESTBOROUGH,1581,22564234,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: H0043 | ONE PERSON RUNS ALL BSD HOME CARE MANAGEMENT LLC 13182661,BSD HOME CARE MANAGEMENT LLC /// BSD HOME CARE MANAGEMENT LLC,AZRIEL LIEBERMAN
P1 - HIGHEST,425 LAKE AVE N STE 102,WORCESTER,1605,15976635,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: G0156, H0043 | ONE PERSON RUNS ALL CITY HOME CARE, LLC 15940293","CITY HOME CARE, LLC /// CITY HOME CARE, LLC",BORIS LIPSKIY
P1 - HIGHEST,2343 PURCHASE ST,NEW BEDFORD,2746,14355330,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: 99214 | ONE PERSON RUNS ALL ALL CARE HOMECARE, LLC 14352305","ALL CARE HOMECARE, LLC /// SCHREE PETTIGREW",SCHREE PETTIGREW
P1 - HIGHEST,37 BIRCH ST,MILFORD,1757,12273869,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: G0299, G0300 | ONE PERSON RUNS ALL SALMON HOME CARE, LLC 9886409","SALMON HOME CARE, LLC /// SALMON HOME CARE, LLC",GARY SACON
P1 - HIGHEST,4 STONY HILL RD,WILBRAHAM,1095,11525576,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: S5130, S5131 | ONE PERSON RUNS ALL EXCEL HOME CARE SERVICES, INC 11058680","EXCEL HOME CARE SERVICES, INC /// EXCEL NURSING SERVICES, INC",REBECCA PAQUETTE
P1 - HIGHEST,62 CENTER ST,FAIRHAVEN,2719,2276308,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: G0299, G0300 | ONE PERSON RUNS ALL COMMUNITY NURSE HOME CARE, INC. 1784257","COMMUNITY NURSE HOME CARE, INC. /// COMMUNITY NURSE HOME CARE, INC",LISA PARENT
P2 - HIGH,33 BOSTON POST RD W,MARLBOROUGH,1752,53270029,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL BAYPATH ELDER SERVICES, INC 49728838","BAYPATH ELDER SERVICES, INC /// BAYPATH ELDER SERVICES, INC. /// BAYPATH ELDER SERVICES, INC.",CHRISTINE ALESSANDRO
P2 - HIGH,680 MECHANIC ST,LEOMINSTER,1453,42596967,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL MONTACHUSETT HOME CARE CORP 29368675,MONTACHUSETT HOME CARE CORP /// MONTACHUSETT HPME CARE CORPORATION /// MONTACHUSETT HOME CARE CORP. /// MONTACHUSETT HOME CARE CORP,MARGARET WOOVIS
