PRIORITY,ADDRESS,CITY,ZIP,TOTAL MEDICAID $,NUM ENTITIES,WHY FLAGGED,ENTITY 1,ENTITY 1 $,PERSON IN CHARGE,PHONE,ENTITY 2,ENTITY 2 $,PERSON IN CHARGE,PHONE,ENTITY 3,ENTITY 3 $,PERSON IN CHARGE,PHONE,ALL ENTITIES,ALL PERSONS
P1 - HIGHEST,300 COMMERCIAL ST STE 19,MALDEN,2148,247817344,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: S5170 | ONE PERSON RUNS ALL,"MYSTIC VALLEY ELDER SERVICES, INC.",222949564,SEAN HUBACZ (DIRECTOR OF FINANCE),(781) 324-7705,"MYSTIC VALLEY ELDER SERVICES, INC.",23974317,SEAN HUBACZ (DIRECTOR OF FINANCE),(781) 324-7705,MYSTIC VALLEY ELDER SERVICES,893462,SEAN HUBACZ (DIRECTOR OF FINANCE),(781) 324-7705,"MYSTIC VALLEY ELDER SERVICES, INC. /// MYSTIC VALLEY ELDER SERVICES, INC. /// MYSTIC VALLEY ELDER SERVICES",SEAN HUBACZ
P1 - HIGHEST,2315 WASHINGTON ST,ROXBURY,2119,207251049,3,"SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: H0043, S5102, S5125, S5170, T1019 | ONE PERSON RUNS ALL","CENTRAL BOSTON ELDER SERVICES, INC.",186664286,EVENS BONTEMPS (ACCOUNTING MANAGER),(617) 277-7416,"CENTRAL BOSTON ELDER SERVICES, INC.",11052331,EVENS BONTEMPS (ACCOUNTING MANAGER),(617) 277-7416,"CENTRAL BOSTON ELDER SERVICES, INC.",9534432,EVENS BONTEMPS (ACCOUNTING MANAGER),(617) 277-7416,"CENTRAL BOSTON ELDER SERVICES, INC. /// CENTRAL BOSTON ELDER SERVICES, INC. /// CENTRAL BOSTON ELDER SERVICES, INC.",EVENS BONTEMPS
P1 - HIGHEST,144 MAIN ST,BROCKTON,2301,157920857,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: T1023 | ONE PERSON RUNS ALL,"OLD COLONY ELDERLY SERVICES, INC.",137684007,DIANA DIGIORGI (EXECUTIVE DIRECTOR),(508) 584-1561,"OLD COLONY ELDERLY SERVICES, INC.",17353172,DIANA DIGIORGI (EXECUTIVE DIRECTOR),(508) 584-1561,"OLD COLONY ELDERLY SERVICES, INC.",2883678,DIANA DIGIORGI (EXECUTIVE DIRECTOR),(508) 584-1561,"OLD COLONY ELDERLY SERVICES, INC. /// OLD COLONY ELDERLY SERVICES, INC. /// OLD COLONY ELDERLY SERVICES, INC.",DIANA DIGIORGI
P1 - HIGHEST,25 MAIN ST,WEYMOUTH,2188,124683308,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: A0080, A0130, A0427, A0434, S0215 | ONE PERSON RUNS ALL",BREWSTER AMBULANCE SERVICE INC.,107115764,MARK BREWSTER (PRESIDENT),(617) 983-4063,EASCARE LLC,17567544,MARK BREWSTER (CEO),(617) 740-9200,,0,,,BREWSTER AMBULANCE SERVICE INC. /// EASCARE LLC,MARK BREWSTER
P1 - HIGHEST,61 MEDFORD ST,SOMERVILLE,2143,118686097,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $100M BILLED | BILLING SAME CODES: S5140 | ONE PERSON RUNS ALL,SOMERVILLE CAMBRIDGE ELDER SERVICES,90176203,JOHN O'NEILL (EXECUTIVE DIRECTOR),(617) 628-2601,SOMERVILLE CAMBRIDGE ELDER SERVICES,27052244,JOHN O'NEILL (EXECUTIVE DIRECTOR),(617) 628-2601,SOMERVILLE CAMBRIDGE ELDER SERVICES,1424340,JOHN O'NEILL (EXECUTIVE DIRECTOR),(617) 628-2601,SOMERVILLE CAMBRIDGE ELDER SERVICES /// SOMERVILLE CAMBRIDGE ELDER SERVICES /// SOMERVILLE CAMBRIDGE ELDER SERVICES /// SOMERVILLE CAMBRIDGE ELDER SERVICES,JOHN O'NEILL
P1 - HIGHEST,1646 PURCHASE ST,NEW BEDFORD,2740,87349662,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: S5170, T1023, T2022 | ONE PERSON RUNS ALL","COASTLINE ELDERLY SERVICES, INC.",83773853,CHARLES SISSON (EXECTUTIVE DIRECTOR),(508) 999-6400,"COASTLINE ELDERLY SERVICES, INC.",3575809,CHARLES SISSON (EXECUTIVE DIRECOTR),(508) 999-6400,,0,,,"COASTLINE ELDERLY SERVICES, INC. /// COASTLINE ELDERLY SERVICES, INC.",CHARLES SISSON
P1 - HIGHEST,303 BEECH ST,HOLYOKE,1040,64995250,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: 90834 | ONE PERSON RUNS ALL,"RIVER VALLEY COUNSELING CENTER, INC",64884077,JENNIFER SALCINES (CREDENTIALING),(413) 540-1234,ZACHARIAH LIEBERMAN,56957,,(413) 540-1234,JOY BROCK,43294,,(413) 540-1100,"RIVER VALLEY COUNSELING CENTER, INC /// ZACHARIAH LIEBERMAN /// JOY BROCK /// JOSE LUGO ESTRADA",JENNIFER SALCINES
P1 - HIGHEST,900 MEMORIAL AVE,WEST SPRINGFIELD,1089,38446663,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: 80307, 99213, 99214 | ONE PERSON RUNS ALL","TOTAL WELLNESS CENTERS, LLC",38421933,MATTHEW SMOLAREK (CFO),(413) 788-0100,SATKIRAN GREWAL,24730,,(413) 788-0100,,0,,,"TOTAL WELLNESS CENTERS, LLC /// SATKIRAN GREWAL",MATTHEW SMOLAREK
P1 - HIGHEST,112 TURNPIKE RD STE 101,WESTBOROUGH,1581,22564234,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: H0043 | ONE PERSON RUNS ALL,BSD HOME CARE MANAGEMENT LLC,13182661,AZRIEL LIEBERMAN (CEO),(845) 544-4089,BSD HOME CARE MANAGEMENT LLC,9381574,AZRIEL LIEBERMAN (CEO),(845) 544-4089,,0,,,BSD HOME CARE MANAGEMENT LLC /// BSD HOME CARE MANAGEMENT LLC,AZRIEL LIEBERMAN
P1 - HIGHEST,425 LAKE AVE N STE 102,WORCESTER,1605,15976635,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: G0156, H0043 | ONE PERSON RUNS ALL","CITY HOME CARE, LLC",15940293,BORIS LIPSKIY (ADMINISTRATOR),(617) 964-2489,"CITY HOME CARE, LLC",36341,BORIS LIPSKIY (PROGRAM DIRECTOR),(617) 964-2489,,0,,,"CITY HOME CARE, LLC /// CITY HOME CARE, LLC",BORIS LIPSKIY
P1 - HIGHEST,2343 PURCHASE ST,NEW BEDFORD,2746,14355330,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: 99214 | ONE PERSON RUNS ALL,"ALL CARE HOMECARE, LLC",14352305,SCHREE PETTIGREW (OWNER),(508) 360-1313,SCHREE PETTIGREW,3025,,(781) 436-3352,,0,,,"ALL CARE HOMECARE, LLC /// SCHREE PETTIGREW",SCHREE PETTIGREW
P1 - HIGHEST,1013 MAIN ST,WORCESTER,1603,12514129,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: 93000, A0130, A0427, A0434, S0215 | ONE PERSON RUNS ALL",EMERGENCY MEDICAL TRANSPORTATION INC,8866102,ERIC THOMAS (SVP OF REVENUE MANAGEMENT),(508) 757-9111,"VITAL ENTERPRISES, INC.",3648028,ERIC THOMAS (SVP OF REVENUE MANAGEMENT),(508) 757-9111,,0,,,"EMERGENCY MEDICAL TRANSPORTATION INC /// VITAL ENTERPRISES, INC.",ERIC THOMAS
P1 - HIGHEST,37 BIRCH ST,MILFORD,1757,12273869,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: G0299, G0300 | ONE PERSON RUNS ALL","SALMON HOME CARE, LLC",9886409,GARY SACON (CFO),(508) 898-3490,"SALMON HOME CARE, LLC",2387460,GARY SACON (CFO),(508) 898-3490,,0,,,"SALMON HOME CARE, LLC /// SALMON HOME CARE, LLC",GARY SACON
P1 - HIGHEST,4 STONY HILL RD,WILBRAHAM,1095,11525576,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | BILLING SAME CODES: S5130, S5131 | ONE PERSON RUNS ALL","EXCEL HOME CARE SERVICES, INC",11058680,REBECCA PAQUETTE (ADMINISTRATOR),(413) 583-2005,"EXCEL NURSING SERVICES, INC",466896,REBECCA PAQUETTE (ADMINISTRATOR),(413) 583-8900,,0,,,"EXCEL HOME CARE SERVICES, INC /// EXCEL NURSING SERVICES, INC",REBECCA PAQUETTE
P1 - HIGHEST,439 S UNION ST UNIT 2104,LAWRENCE,1843,6779062,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90834 | ONE PERSON RUNS ALL",FERRERAS COUNSELING LLC,6061744,MARIA FERRERAS (MANAGING MEMBER),(978) 648-8515,MARIA FERRERAS-MENDEZ,717318,,(978) 648-8515,,0,,,FERRERAS COUNSELING LLC /// MARIA FERRERAS-MENDEZ,MARIA FERRERAS
P1 - HIGHEST,200 CORDWAINER DR,NORWELL,2061,5468206,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90837 | ONE PERSON RUNS ALL,SOUTH SHORE CENTER FOR WELLNESS LTD,4960181,KENNETH ROOD (CLINICAL DIRECTOR),(781) 878-8340,SANDRA BUTLER,385681,,(781) 878-8340,KIRA SALHANEY,122344,,(781) 878-8340,SOUTH SHORE CENTER FOR WELLNESS LTD /// SANDRA BUTLER /// KIRA SALHANEY,KENNETH ROOD
P1 - HIGHEST,484 PLEASANT ST,BROCKTON,2301,4782413,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90837, H2019, T1027 | ONE PERSON RUNS ALL",TJOCELYNE COUNSELING & CONSULTING LLC.,3464569,TAMARRA ARISTILDE (OWNER),(774) 269-2459,TAMARRA ARISTILDE,1317844,,(774) 269-2459,,0,,,TJOCELYNE COUNSELING & CONSULTING LLC. /// TAMARRA ARISTILDE,TAMARRA ARISTILDE
P1 - HIGHEST,11 VANDERBILT AVE,NORWOOD,2062,3311452,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 97813, 97814 | ONE PERSON RUNS ALL",EASTWAY WELLNESS LLC,2246627,YI LUO (OWNER),(781) 688-0138,YI LUO,1064825,,(781) 688-0138,,0,,,EASTWAY WELLNESS LLC /// YI LUO,YI LUO
P1 - HIGHEST,400 N MAIN ST,RANDOLPH,2368,3068252,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90834, 90837, 90847 | ONE PERSON RUNS ALL","NEW LIFE COUNSELING & WELLNESS CENTER, INC.",2809917,PAULA DUVELSON (CEO),(781) 986-4800,XIAOYAN HOU,258335,,(781) 986-4800,,0,,,"NEW LIFE COUNSELING & WELLNESS CENTER, INC. /// XIAOYAN HOU",PAULA DUVELSON
P1 - HIGHEST,62 CENTER ST,FAIRHAVEN,2719,2276308,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: G0299, G0300 | ONE PERSON RUNS ALL","COMMUNITY NURSE HOME CARE, INC.",1784257,LISA PARENT (CEO),(508) 992-6278,"COMMUNITY NURSE HOME CARE, INC",492051,LISA PARENT (PRESIDENT/CEO),(508) 992-6278,,0,,,"COMMUNITY NURSE HOME CARE, INC. /// COMMUNITY NURSE HOME CARE, INC",LISA PARENT
P1 - HIGHEST,389 MAIN ST STE 301,MALDEN,2148,1782164,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90834 | ONE PERSON RUNS ALL",EMBRACE PATHWAYS TO WELLNESS LLC,1739414,GABRIELA MELLO MUNIZ (CEO),(781) 420-9953,GABRIELA MELLO MUNIZ,42750,,(617) 804-2773,,0,,,EMBRACE PATHWAYS TO WELLNESS LLC /// GABRIELA MELLO MUNIZ,GABRIELA MELLO MUNIZ
P1 - HIGHEST,21 FATHER DEVALLES BLVD STE 15,FALL RIVER,2723,1469603,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90837 | ONE PERSON RUNS ALL,FITZGERALD COUNSELING GROUP,1108038,JILL FITZGERALD (PRESIDENT),(978) 408-6446,JILL FITZGERALD,336122,,(774) 775-2108,JESSICA MKPANAM,25444,,(978) 408-6446,FITZGERALD COUNSELING GROUP /// JILL FITZGERALD /// JESSICA MKPANAM,JILL FITZGERALD
P1 - HIGHEST,232 PLEASANT ST,METHUEN,1844,1179886,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90834 | ONE PERSON RUNS ALL,"BLUESKIES WELLNESS, INC.",1168714,BELEN GODWIN (PRESIDENT),(978) 655-1823,CHARLENE BOBEK,11172,,(978) 655-1823,,0,,,"BLUESKIES WELLNESS, INC. /// CHARLENE BOBEK",BELEN GODWIN
P1 - HIGHEST,370 MAIN ST STE 910,WORCESTER,1608,1031532,2,"SAME PERSON CONTROLS ALL ENTITIES | OVER $1M BILLED | BILLING SAME CODES: 90791, 90834, 90837 | ONE PERSON RUNS ALL",AUGUSTUS SEALY,928279,,(661) 651-8596,SEALY MENTAL HEALTH COUNSELING SERVICE INC.,103253,AUGUSTUS SEALY (MANAGER),(508) 752-5444,,0,,,AUGUSTUS SEALY /// SEALY MENTAL HEALTH COUNSELING SERVICE INC.,AUGUSTUS SEALY
P1 - HIGHEST,1208B VFW PKWY STE 201,BOSTON,2132,911541,2,"SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 97810, 97811, 97814 | ONE PERSON RUNS ALL",SUN WELLNESS ACUPUNCTURE PC,658084,SUNYOUNG LEE (OWNER),(617) 327-1812,SUNYOUNG LEE,253457,,(617) 327-1812,,0,,,SUN WELLNESS ACUPUNCTURE PC /// SUNYOUNG LEE,SUNYOUNG LEE
P1 - HIGHEST,66 CLIFTON AVENUE,MARBLEHEAD,1945,608268,2,SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 90834 | ONE PERSON RUNS ALL,MARBLEHEAD COUNSELING CENTER INC,517491,PAUL CROSBY (EXECUTIVE DIRECTOR),(781) 631-8273,HEATHER FINE,90776,,(781) 631-8273,,0,,,MARBLEHEAD COUNSELING CENTER INC /// HEATHER FINE,PAUL CROSBY
P1 - HIGHEST,1525 BLUE HILL AVE,MATTAPAN,2126,450879,3,SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 90834 | ONE PERSON RUNS ALL,FRITZ SAMSON,385018,,(617) 515-1952,MULTICULTURAL COUNSELING CENTER INC,45471,LAURE LINDOR (CLINICIAN),(781) 344-3400,LAURE LINDOR,20390,,(617) 296-1700,FRITZ SAMSON /// MULTICULTURAL COUNSELING CENTER INC /// LAURE LINDOR,LAURE LINDOR
P1 - HIGHEST,10 N MAIN ST FL 2,FALL RIVER,2720,449581,2,SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 98941 | ONE PERSON RUNS ALL,"OPTIMAL HEALTH: A MIND AND BODY WELLNESS CENTER, LLC",448938,ELIZABETH GOMES (OWNER),(508) 679-9900,JAMES GOMES,643,,(508) 679-9900,,0,,,"OPTIMAL HEALTH: A MIND AND BODY WELLNESS CENTER, LLC /// JAMES GOMES",ELIZABETH GOMES
P1 - HIGHEST,350 LINCOLN ST STE 2400,HINGHAM,2043,448463,2,SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 90837 | ONE PERSON RUNS ALL,BRIDGEWAY WELLNESS CENTER LLC,412185,LATANYA DUNCAN (CO-OWNER/CLINICIAN),(617) 446-3705,LAUREN GRENIER,36279,,(617) 446-3705,,0,,,BRIDGEWAY WELLNESS CENTER LLC /// LAUREN GRENIER,LATANYA DUNCAN
P1 - HIGHEST,37 BELMONT ST STE 203,BROCKTON,2301,254274,2,"SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 90791, 90837 | ONE PERSON RUNS ALL",YVELANDE BOURSIQUOT,177963,,(774) 381-9648,SERENE WAY THERAPY & WELLNESS CENTER LLC,76311,YVELANDE BOURSIQUOT (OWNER),(774) 381-9648,,0,,,YVELANDE BOURSIQUOT /// SERENE WAY THERAPY & WELLNESS CENTER LLC,YVELANDE BOURSIQUOT
P1 - HIGHEST,51 UNION ST STE 214,WORCESTER,1608,246229,2,SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 90834 | ONE PERSON RUNS ALL,ELIZABETH GREENE,124848,,(508) 769-7812,"BAKER MENTAL HEALTH CONSULTING, LLC",121381,STACEY BAKER (EXECUTIVE DIRECTOR),(508) 769-7812,,0,,,"ELIZABETH GREENE /// BAKER MENTAL HEALTH CONSULTING, LLC",STACEY BAKER
P1 - HIGHEST,425 UNION ST STE 46,WEST SPRINGFIELD,1089,125608,2,SAME PERSON CONTROLS ALL ENTITIES | BILLING SAME CODES: 90837 | ONE PERSON RUNS ALL,LUIS TORRES-CORDERO,72053,,(413) 299-2277,"INSPIRA COUNSELING CENTER, LLC",53555,LUIS TORRES-CORDERO (PRESIDENT),(413) 299-2277,,0,,,"LUIS TORRES-CORDERO /// INSPIRA COUNSELING CENTER, LLC",LUIS TORRES-CORDERO
P2 - HIGH,33 BOSTON POST RD W,MARLBOROUGH,1752,53270029,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,"BAYPATH ELDER SERVICES, INC",49728838,CHRISTINE ALESSANDRO (EXECUTIVE DIRECTOR),(508) 573-7200,"BAYPATH ELDER SERVICES, INC.",2857286,CHRISTINE ALESSANDRO (EXECUTIVE DIRECTOR),(508) 573-7200,"BAYPATH ELDER SERVICES, INC.",683905,CHRISTINE ALESSANDRO (EXECUTIVE DIRECTOR),(508) 573-7200,"BAYPATH ELDER SERVICES, INC /// BAYPATH ELDER SERVICES, INC. /// BAYPATH ELDER SERVICES, INC.",CHRISTINE ALESSANDRO
P2 - HIGH,680 MECHANIC ST,LEOMINSTER,1453,42596967,4,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,MONTACHUSETT HOME CARE CORP,29368675,MARGARET WOOVIS (EXECUTIVE DIRECTOR),(978) 537-7411,MONTACHUSETT HPME CARE CORPORATION,11724043,MARGARET WOOVIS (EXECUTIVE DIRECTOR),(978) 537-7411,MONTACHUSETT HOME CARE CORP.,752982,MARGARET WOOVIS (EXECUTIVE DIRECTOR),(978) 537-4111,MONTACHUSETT HOME CARE CORP /// MONTACHUSETT HPME CARE CORPORATION /// MONTACHUSETT HOME CARE CORP. /// MONTACHUSETT HOME CARE CORP,MARGARET WOOVIS
P2 - HIGH,73 S CHURCH STREET,PITTSFIELD,1201,36647961,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,ELDER SERVICES OF BERKSHIRE COUNTY INC.,35911195,CHRISTOPHER MCLAUGHLIN (EXECUTIVE DIRECTOR),(413) 499-0524,ELDER SERVICES OF BERKSHIRE COUNTY INC.,736766,CHRISTOPHER MCLAUGHLIN (EXECUTIVE DIRECTOR),(413) 499-0524,,0,,,ELDER SERVICES OF BERKSHIRE COUNTY INC. /// ELDER SERVICES OF BERKSHIRE COUNTY INC.,CHRISTOPHER MCLAUGHLIN
