rank,authorized_official,num_npis,total_spending,num_unique_addresses,different_addresses_flag,npi,org_name,dba,npi_spending,address,city,zip,auth_title
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1750504064,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,1349935087.72,SO VALLEY CM,SOUTHBRIDGE,01550,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1518096411,COMMONWEALTH OF MASSACHUSETS,<UNAVAIL>,1143418621.17,100 CUMMINGS CTR STE 150B,BEVERLY,019156135,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1134250475,COMMONWEALTH OF MASS-DDS,<UNAVAIL>,1097550708.19,65 SPRAGUE ST,HYDE PARK,021362061,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1245354000,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,881889979.78,270 COMMUNICATIONS WAY,HYANNIS,02601,CFO
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1528281532,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,465361804.09,SPRINGFIELD CM,SPRINGFIELD,01103,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1023140498,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,447546116.82,1221 MAIN ST,S WEYMOUTH,021901561,SENIOR REVENUE MANAGER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1942339825,COMMONWEALTH OF MASSACHUSETTS,<UNAVAIL>,443959619.77,200 MAIN ST,HAVERHILL,018305060,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1982735643,COMMONWEALTH OF MASS-DDS,<UNAVAIL>,435792281.77,125 WEST ST,WALPOLE,020811819,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1609099910,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,352210923.50,NO CENTRAL CM,FITCHBURG,01420,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1114058872,COMMONWEALTH OF MASS-DDS,<UNAVAIL>,350130933.04,46 PARK ST,FRAMINGHAM,017026652,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1386773273,COMMONWEALTH OF MASSACHUSETTS,<UNAVAIL>,334275022.02,20 ACADEMY ST,ARLINGTON,024766401,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1295869428,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,326663146.06,21 SPRING STREET,TAUNTON,02780,CFO
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1447382817,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,316561274.43,61 INDUSTRIAL PARK RD,PLYMOUTH,023604868,CFO
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1245364595,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,309701914.58,500 BELMONT STREET,BROCKTON,02301,CFO
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1205965258,COMMONWEALTH OF MASSACHUSETTS,<UNAVAIL>,306218639.71,325 CHELMSFORD ST,LOWELL,018514429,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1851422661,COMMONWEALTH OF MASS-DDS,<UNAVAIL>,298421390.00,225 ELM ST,SOMERVILLE,021442918,CHIEF FINANCIAL OFFICER
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1003039322,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,282079072.51,WORCESTER CM,WORCESTER,01608,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1679602502,COMMONWEALTH OF MASSACHUSETTS,<UNAVAIL>,280884596.78,27 WATER ST,WAKEFIELD,018803032,CHIEF FINANCIAL OFFICER
